video1,video2,clip_similarity,video_similarity
Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ba_goo_2.avi 26,Ella_brushing_her_amazing_long_hair_brush_hair_u_cm_np1_ri_goo_1.avi 26,0.90644,0.38878
Goalkeeper_Training_Day_#_2_catch_f_cm_np1_ba_bad_5.avi 19,Goalkeeper_Training_Day_#_7_catch_f_nm_np1_ri_bad_4.avi 19,0.90683,0.38668
bungee_jumping_compilation_dive_f_cm_np1_le_bad_2.avi 4,bungee_jumping_compilation_dive_f_cm_np1_ri_bad_3.avi 4,0.90835,0.22823
Eishin-Ryu_Iaido_draw_sword_f_cm_np1_fr_med_0.avi 44,Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_fr_med_2.avi 44,0.90029,0.39010
Muso_Jikiden_Eishinryu_in_Guldental_draw_sword_f_cm_np1_le_med_3.avi 44,Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_fr_med_0.avi 44,0.90332,0.35208
Muso_Jikiden_Eishinryu_in_Guldental_draw_sword_f_cm_np1_le_med_3.avi 44,Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_le_med_1.avi 44,0.92047,0.34307
Muso_Jikiden_Eishinryu_in_Guldental_draw_sword_f_cm_np1_le_med_4.avi 44,Ukigumo_Kata_from_Hasegawa_Eishin_Ryu_draw_sword_f_nm_np1_fr_med_0.avi 44,0.90664,0.35051
10YearOldYouthBasketballStarBaller_dribble_f_cm_np1_ba_med_5.avi 18,10YearOldYouthBasketballStarBaller_shoot_ball_f_cm_np1_ba_med_3.avi 22,0.90628,0.30093
kick__Baddest_Fight_Scenes_EVER!_-_Kickboxer_-_Part_1_of_2_kick_f_cm_np1_fr_med_11.avi 42,kick__Baddest_Fight_Scenes_EVER!_-_Kickboxer_-_Part_1_of_2_kick_u_cm_np1_ri_med_9.avi 42,0.90684,0.34189
Glory_punch_f_nm_np1_fr_med_36.avi 38,Glory_punch_u_cm_np1_fr_bad_37.avi 38,0.93212,0.37073
Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_ba_med_0.avi 30,Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_ri_bad_1.avi 30,0.92901,0.26059
Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_fr_med_4.avi 30,Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_ri_bad_1.avi 30,0.91986,0.38734
Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_fr_med_5.avi 30,Tour_de_France_2009_ETAPA_16_ESPN_ESP__Kilometros_finales_ride_bike_f_cm_np1_ri_bad_1.avi 30,0.91879,0.37406
BethEventingTraingGeorge_ride_horse_f_cm_np1_fr_med_5.avi 28,BethEventingTraingGeorge_ride_horse_f_cm_np1_ri_med_3.avi 28,0.92399,0.35697
BethEventingTraingGeorge_ride_horse_f_cm_np1_fr_med_7.avi 28,BethEventingTraingGeorge_ride_horse_f_cm_np1_ri_med_3.avi 28,0.90629,0.31157
CrossCountry_ride_horse_f_cm_np1_le_med_10.avi 28,CrossCountry_ride_horse_f_cm_np1_le_med_3.avi 28,0.92326,0.33458
CrossCountry_ride_horse_f_cm_np1_le_med_3.avi 28,CrossCountry_ride_horse_f_cm_np1_le_med_4.avi 28,0.90680,0.38145
GLOCK17_shoot_gun_f_nm_np1_fr_med_4.avi 3,GLOCK17_shoot_gun_u_nm_np1_ri_goo_7.avi 3,0.91446,0.30916
GLOCK17_shoot_gun_f_nm_np1_fr_med_4.avi 3,GLOCK17_shoot_gun_u_nm_np1_ri_goo_8.avi 3,0.90788,0.39062
GLOCK17_shoot_gun_f_nm_np1_fr_med_5.avi 3,GLOCK17_shoot_gun_u_nm_np1_ri_goo_7.avi 3,0.92061,0.25827
GLOCK17_shoot_gun_f_nm_np1_fr_med_5.avi 3,GLOCK17_shoot_gun_u_nm_np1_ri_goo_8.avi 3,0.91681,0.36278
GLOCK17_shoot_gun_u_nm_np1_ri_goo_7.avi 3,GLOCK17_shoot_gun_u_nm_np1_ri_med_0.avi 3,0.93388,0.35986
Kendo_Basics_sword_exercise_f_cm_np2_le_bad_3.avi 27,Kendo_Basics_sword_exercise_f_nm_np1_fr_bad_5.avi 27,0.91337,0.37226
Kendo_Basics_sword_exercise_f_nm_np1_fr_bad_5.avi 27,Kendo_Basics_sword_exercise_f_nm_np1_le_bad_4.avi 27,0.91305,0.39508
