video1,video2,clip_similarity,video_similarity
v_Archery_g01_c05.avi,v_Archery_g01_c07.avi,0.90926,0.37614
v_Archery_g01_c06.avi,v_Archery_g01_c07.avi,0.91083,0.39181
v_BabyCrawling_g05_c05.avi,v_BabyCrawling_g07_c05.avi,0.91727,0.37576
v_BalanceBeam_g01_c01.avi,v_ParallelBars_g05_c03.avi,0.90006,0.37905
v_BalanceBeam_g01_c02.avi,v_ParallelBars_g05_c03.avi,0.91350,0.30830
v_BalanceBeam_g01_c03.avi,v_ParallelBars_g05_c03.avi,0.90176,0.35353
v_BalanceBeam_g02_c01.avi,v_FloorGymnastics_g01_c02.avi,0.91567,0.38084
v_BalanceBeam_g04_c02.avi,v_FloorGymnastics_g06_c06.avi,0.91596,0.31102
v_BalanceBeam_g04_c02.avi,v_ParallelBars_g06_c04.avi,0.91171,0.39882
v_BalanceBeam_g04_c02.avi,v_ParallelBars_g07_c01.avi,0.90997,0.37556
v_BalanceBeam_g04_c02.avi,v_UnevenBars_g02_c04.avi,0.90029,0.34096
v_BalanceBeam_g04_c02.avi,v_UnevenBars_g05_c03.avi,0.90831,0.33574
v_BalanceBeam_g04_c03.avi,v_FloorGymnastics_g03_c04.avi,0.92497,0.36905
v_BalanceBeam_g04_c03.avi,v_FloorGymnastics_g06_c04.avi,0.90986,0.36735
v_BalanceBeam_g04_c03.avi,v_FloorGymnastics_g06_c06.avi,0.91218,0.25991
v_BalanceBeam_g04_c03.avi,v_ParallelBars_g02_c03.avi,0.90146,0.38301
v_BalanceBeam_g04_c03.avi,v_ParallelBars_g03_c02.avi,0.90319,0.37480
v_BalanceBeam_g04_c03.avi,v_ParallelBars_g06_c04.avi,0.91868,0.39669
v_BalanceBeam_g04_c03.avi,v_UnevenBars_g01_c02.avi,0.90237,0.39490
v_BalanceBeam_g04_c03.avi,v_UnevenBars_g02_c04.avi,0.90942,0.35920
v_BalanceBeam_g04_c03.avi,v_UnevenBars_g04_c01.avi,0.91416,0.38518
v_BalanceBeam_g04_c03.avi,v_UnevenBars_g05_c03.avi,0.91079,0.35136
v_BalanceBeam_g04_c04.avi,v_FloorGymnastics_g03_c04.avi,0.91094,0.39854
v_BalanceBeam_g04_c04.avi,v_FloorGymnastics_g05_c02.avi,0.90096,0.28639
v_BalanceBeam_g04_c04.avi,v_FloorGymnastics_g06_c06.avi,0.92645,0.33884
v_BalanceBeam_g04_c04.avi,v_ParallelBars_g06_c04.avi,0.90384,0.32249
v_BalanceBeam_g04_c04.avi,v_ParallelBars_g06_c07.avi,0.91229,0.37818
v_BalanceBeam_g04_c04.avi,v_UnevenBars_g04_c01.avi,0.90899,0.36777
v_BalanceBeam_g05_c04.avi,v_FloorGymnastics_g03_c04.avi,0.91552,0.34580
v_BalanceBeam_g06_c01.avi,v_ParallelBars_g03_c03.avi,0.90833,0.39930
v_BalanceBeam_g06_c02.avi,v_FloorGymnastics_g05_c04.avi,0.90525,0.39476
v_BalanceBeam_g06_c02.avi,v_ParallelBars_g03_c03.avi,0.91177,0.35598
v_BalanceBeam_g06_c02.avi,v_ParallelBars_g06_c03.avi,0.90034,0.36368
v_BalanceBeam_g06_c06.avi,v_FloorGymnastics_g05_c02.avi,0.92180,0.36611
v_BalanceBeam_g06_c06.avi,v_ParallelBars_g06_c03.avi,0.91072,0.39204
v_BalanceBeam_g06_c07.avi,v_ParallelBars_g03_c03.avi,0.90970,0.34803
v_BalanceBeam_g06_c07.avi,v_ParallelBars_g04_c01.avi,0.90168,0.31426
v_BalanceBeam_g06_c07.avi,v_ParallelBars_g07_c03.avi,0.90566,0.37354
v_BalanceBeam_g07_c02.avi,v_FloorGymnastics_g01_c02.avi,0.90253,0.34948
v_Basketball_g05_c02.avi,v_VolleyballSpiking_g03_c03.avi,0.90322,0.32460
v_Bowling_g02_c03.avi,v_Bowling_g05_c02.avi,0.90176,0.39734
v_Bowling_g06_c03.avi,v_Bowling_g06_c04.avi,0.94198,0.36443
